Date;Price;Open;High;Low;Vol.;Change %
09.01.2024;3634.86;3660.03;3661.54;3505.75;0.00K;-0.72%
08.01.2024;3661.24;3571.82;3661.24;3313.57;;2.51%
07.01.2024;3571.57;3513.68;3649.18;3481.11;;1.70%
06.01.2024;3511.78;3446.93;3542.95;3430.82;;1.93%
05.01.2024;3445.17;3301.5;3486.26;3290.58;;4.23%
04.01.2024;3305.3;3438.75;3438.8;3247.6;;-3.85%
03.01.2024;3437.76;3335.53;3445.72;3325.4;;3.01%
02.01.2024;3337.2;3200.87;3344.4;3193.72;;4.11%
01.01.2024;3205.32;3168.07;3243.53;3102.63;;1.14%
12.01.2023;3169.18;3021.44;3184.32;3014.36;;4.81%
11.01.2023;3023.63;2769.29;3030.67;2769.15;;9.21%
10.01.2023;2768.62;2851.03;2907.2;2724.91;;-2.97%
09.01.2023;2853.24;2985.63;3008.4;2822.18;;-4.45%
08.01.2023;2986.02;3062.21;3062.68;2877.12;;-2.55%
07.01.2023;3064.3;2967.65;3071.01;2910.39;;3.29%
06.01.2023;2966.72;2803.68;2982.52;2803.4;;5.93%
05.01.2023;2800.56;2835.57;2854.79;2774.09;;-1.25%
04.01.2023;2835.93;2788.92;2843.57;2768.98;;1.59%
03.01.2023;2791.44;2712.39;2791.51;2612.57;;2.83%
02.01.2023;2714.57;2785.75;2854.08;2693.98;;-2.53%
01.01.2023;2785;2604.53;2798.64;2586.24;;7.00%
12.01.2022;2602.69;2730.07;2761.16;2566.48;;-4.34%
11.01.2022;2720.89;2547.51;2729.73;2453.2;;6.80%
10.01.2022;2547.72;2378.17;2564.65;2314.97;;7.11%
09.01.2022;2378.65;2622.89;2725.55;2377.39;;-9.46%
08.01.2022;2627.32;2747.49;2854.34;2625.66;;-4.33%
07.01.2022;2746.36;2547.89;2751.69;2485.67;;7.86%
06.01.2022;2546.19;2792.01;2819.58;2467.27;;-8.77%
05.01.2022;2791.01;2793.3;2878.4;2602.56;;-0.16%
04.01.2022;2795.62;3050.2;3086.91;2791.18;;-8.43%
03.01.2022;3053.07;2979.74;3113.02;2792.22;;2.52%
02.01.2022;2977.95;3060.64;3132.49;2825.07;;-2.65%
01.01.2022;3059.05;3230.72;3261.66;2912.04;;-5.34%
12.01.2021;3231.73;3106.8;3251.95;3067.56;;4.19%
11.01.2021;3101.8;3175.13;3242.9;3101.8;;-2.30%
10.01.2021;3174.73;3006.75;3180.72;2978.07;;5.59%
09.01.2021;3006.6;3141.95;3174.13;3006.6;;-4.29%
08.01.2021;3141.35;3071.08;3151.34;3047.6;;2.35%
07.01.2021;3069.25;3017.32;3095.57;2962.62;;1.72%
06.01.2021;3017.23;2976.98;3029.15;2943.47;;1.40%
05.01.2021;2975.7;2938.21;2987.71;2860.3;;1.26%
04.01.2021;2938.76;2809.98;2972.72;2809.16;;4.52%
03.01.2021;2811.7;2727.78;2837.3;2670.21;;3.11%
02.01.2021;2726.91;2659.13;2838.4;2659.13;;2.45%
01.01.2021;2661.69;2690.04;2770.88;2649.36;;-1.05%
12.01.2020;2690.04;2581.24;2699.37;2581.2;;4.14%
11.01.2020;2583.14;2293.39;2603.87;2293.39;;12.66%
10.01.2020;2292.93;2367.51;2484.98;2276.24;;-3.14%
09.01.2020;2367.27;2453.75;2500.32;2280.83;;-3.59%
08.01.2020;2455.51;2304.21;2461.35;2301.66;;6.53%
07.01.2020;2304.98;2202.77;2333.64;2194.91;;4.69%
06.01.2020;2201.79;2147.96;2291.59;2116.44;;2.51%
05.01.2020;2147.88;2049.78;2167.71;1952.89;;4.63%
04.01.2020;2052.85;1855.09;2078.66;1763.77;;10.80%
03.01.2020;1852.73;2144.07;2249.35;1579.14;;-13.47%
02.01.2020;2141.12;2342.14;2434.95;2087.86;;-8.59%
01.01.2020;2342.41;2358.25;2419.06;2337.97;;-0.68%
12.01.2019;2358.47;2291.89;2369.2;2250.88;;2.89%
11.01.2019;2292.26;2232.03;2303.72;2231.82;;2.63%
10.01.2019;2233.53;2180.5;2241.21;2102.44;;2.45%
09.01.2019;2180.02;2137.1;2211.52;2119.08;;1.94%
08.01.2019;2138.52;2182.62;2201.77;2073.22;;-2.24%
07.01.2019;2187.56;2177.61;2220.86;2172.85;;0.42%
06.01.2019;2178.35;2046.47;2186.67;2039.89;;6.46%
05.01.2019;2046.25;2179.34;2185.44;2042.57;;-6.08%
04.01.2019;2178.67;2107.35;2180.33;2107.27;;3.37%
03.01.2019;2107.74;2084.72;2131.84;2040.69;;1.05%
02.01.2019;2085.84;2027.35;2100.65;2008.01;;2.83%
01.01.2019;2028.49;1885.41;2029.69;1847.89;;7.68%
12.01.2018;1883.9;2042.05;2072.6;1794;;-7.71%
11.01.2018;2041.36;2021.42;2089.51;1968.98;;0.96%
10.01.2018;2021.98;2183.59;2195.88;1958.3;;-7.42%
09.01.2018;2184.01;2172.37;2203.96;2131.62;;0.39%
08.01.2018;2175.5;2153.56;2193.24;2106.78;;1.04%
07.01.2018;2153.1;2089.19;2168.69;2069.16;;3.05%
06.01.2018;2089.3;2092.35;2149.03;2066.44;;-0.17%
05.01.2018;2092.92;2086.09;2141.59;2054.08;;0.31%
04.01.2018;2086.51;2067.54;2128.01;2026.15;;0.95%
03.01.2018;2066.85;2117.37;2164.33;2034.08;;-2.41%
02.01.2018;2117.99;2211.12;2218.8;2009.6;;-4.30%
01.01.2018;2213.24;2102.35;2249.69;2102.35;;5.22%
12.01.2017;2103.45;2074.68;2112.42;2056.24;;1.26%
